,date,volume
270,28-09-2015,66688
271,29-09-2015,59219
272,30-09-2015,58629
273,01-10-2015,57422
274,02-10-2015,45425
275,03-10-2015,0
276,04-10-2015,13800
277,05-10-2015,69128
278,06-10-2015,64638
279,07-10-2015,59953
280,08-10-2015,59839
281,09-10-2015,47668
282,10-10-2015,0
283,11-10-2015,11155
284,12-10-2015,62445
285,13-10-2015,56903
286,14-10-2015,53898
287,15-10-2015,49596
288,16-10-2015,41777
289,17-10-2015,0
290,18-10-2015,10077
291,19-10-2015,64730
292,20-10-2015,59168
293,21-10-2015,57597
294,22-10-2015,53988
295,23-10-2015,48237
296,24-10-2015,0
297,25-10-2015,10132
298,26-10-2015,66120
299,27-10-2015,61309
300,28-10-2015,56589
301,29-10-2015,54493
302,30-10-2015,44525
303,31-10-2015,0
304,01-11-2015,15635
305,02-11-2015,71825
306,03-11-2015,67644
307,04-11-2015,66166
308,05-11-2015,61664
309,06-11-2015,48118
310,07-11-2015,0
311,08-11-2015,12210
312,09-11-2015,69218
313,10-11-2015,57523
314,11-11-2015,65787
315,12-11-2015,62366
316,13-11-2015,46152
317,14-11-2015,0
318,15-11-2015,11042
319,16-11-2015,67832
320,17-11-2015,66228
321,18-11-2015,62615
322,19-11-2015,58748
323,20-11-2015,47971
324,21-11-2015,0
325,22-11-2015,12020
326,23-11-2015,69264
327,24-11-2015,65083
328,25-11-2015,64814
329,26-11-2015,62128
330,27-11-2015,56774
331,28-11-2015,0
332,29-11-2015,23191
333,30-11-2015,96850
334,01-12-2015,96030
335,02-12-2015,88801
336,03-12-2015,77695
337,04-12-2015,64453
338,05-12-2015,0
339,06-12-2015,20251
340,07-12-2015,97708
341,08-12-2015,87189
342,09-12-2015,82555
343,10-12-2015,83965
344,11-12-2015,72158
345,12-12-2015,0
346,13-12-2015,28329
347,14-12-2015,99260
348,15-12-2015,99925
349,16-12-2015,96697
350,17-12-2015,88956
351,18-12-2015,72275
352,19-12-2015,0
353,20-12-2015,28781
354,21-12-2015,95981
355,22-12-2015,61985
356,23-12-2015,32658
357,24-12-2015,0
358,25-12-2015,0
359,26-12-2015,0
360,27-12-2015,8303
361,28-12-2015,58738
362,29-12-2015,48067
363,30-12-2015,39313
364,31-12-2015,0
365,01-01-2016,0
366,02-01-2016,0
367,03-01-2016,14672
368,04-01-2016,83907
369,05-01-2016,74881
370,06-01-2016,67246
371,07-01-2016,64578
372,08-01-2016,54415
373,09-01-2016,0
374,10-01-2016,13752
375,11-01-2016,77486
376,12-01-2016,69297
377,13-01-2016,65154
378,14-01-2016,59649
379,15-01-2016,49871
380,16-01-2016,0
381,17-01-2016,11612
382,18-01-2016,71663
383,19-01-2016,63739
384,20-01-2016,61506
385,21-01-2016,57687
